Index,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Time Took For Restoration (hrs),Demand Loss (MW),Number of Customers Affected,State,County,NERC_Region,Event_Type,Alert_Criteria
1,January,2022-01-01,12:36:00,01/01/2022,14:12:00,1.5999999999999996,0,0,Washington,Thurston County,WECC,System Operations,"Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency."
2,January,2022-01-01,12:36:00,01/02/2022,19:43:00,7.116666666666665,0,0,Washington,Thurston County,WECC,System Operations,"Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency."
3,January,2022-01-01,01:01:00,,,,0,0,Georgia,Clayton County,SERC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
4,January,2022-01-01,00:06:00,01/01/2022,05:51:00,5.75,2,845,New Hampshire,Merrimack County,NPCC,Suspicious Activity,Damage or destruction of its Facility that results from actual or suspected intentional human action.
5,January,2022-01-02,13:21:00,01/02/2022,17:38:00,4.283333333333331,3,1706,California,Tuolumne County,WECC,Severe Weather,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.
6,January,2022-01-03,12:45:00,01/03/2022,12:46:00,0.016666666666666607,0,0,Washington,Thurston County,WECC,Vandalism,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
7,January,2022-01-03,05:00:00,01/04/2022,18:00:00,13.0,,60424,South Carolina,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
8,January,2022-01-03,05:30:00,01/04/2022,12:30:00,7.000000000000002,,142000,North Carolina,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
8,January,2022-01-03,05:30:00,01/04/2022,12:30:00,7.000000000000002,,142000,South Carolina,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
9,January,2022-01-03,01:00:00,01/03/2022,14:00:00,13.000000000000002,283,40885,Georgia,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
9,January,2022-01-03,01:00:00,01/03/2022,14:00:00,13.000000000000002,283,40885,Alabama,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
9,January,2022-01-03,01:00:00,01/03/2022,14:00:00,13.000000000000002,283,40885,Mississippi,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
10,January,2022-01-05,12:32:00,01/05/2022,12:45:00,0.2166666666666659,0,0,Massachusetts,Plymouth County,NPCC,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
11,January,2022-01-08,02:20:00,01/12/2022,07:40:00,5.333333333333334,0,0,Florida,Citrus County,SERC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
12,January,2022-01-08,18:07:00,01/08/2022,22:26:00,4.316666666666667,0,0,New Hampshire,Merrimack County,NPCC,Suspicious Activity,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
13,January,2022-01-08,02:56:00,01/08/2022,03:03:00,0.11666666666666625,0,0,Texas,Cameron County,TRE,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
13,January,2022-01-08,02:56:00,01/08/2022,03:03:00,0.11666666666666625,0,0,Texas,Willacy County,TRE,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
14,January,2022-01-09,18:08:00,,,,,,Mississippi,Adams County,SERC,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
